Area and Purpose,Predicted Spending (in millions)
North America - Holiday - All,11211.357023113678
North America - Holiday - Inclusive tour,1584.8952332254105
North America - Business,3575.892963616649
North America - Visit friends or relatives,6035.750679624862
North America - Miscellaneous,2133.8878329614295
Europe - Holiday - All,18955.298198828306
Europe - Holiday - Inclusive tour,2518.6442722074194
Europe - Business,10337.54868557443
Europe - Visit friends or relatives,14528.581483225347
Europe - Miscellaneous,4593.435606024073
EU - Holiday - All,16597.329059228185
EU - Holiday - Inclusive tour,2225.0636509709366
EU - Business,9039.451885399112
EU - Visit friends or relatives,13061.76016465772
EU - Miscellaneous,3800.8975883320527
EU15 - Holiday - All,15075.386887322587
EU15 - Holiday - Inclusive tour,2028.775284257164
EU15 - Business,7369.331357657649
EU15 - Visit friends or relatives,10902.266284590873
EU15 - Miscellaneous,3487.0230021214747
Other EU - Holiday - All,2243.596781459456
Other EU - Holiday - Inclusive tour,166.96517283121
Other EU - Business,2340.1412912053493
Other EU - Visit friends or relatives,2949.527528220755
Other EU - Miscellaneous,517.7637599817067
Other Countries - Holiday - All,14078.031705134046
Other Countries - Holiday - Inclusive tour,1718.465905604588
Other Countries - Business,4671.66755155469
Other Countries - Visit friends or relatives,10796.274465809709
Other Countries - Miscellaneous,4103.563304484088
World Total - Holiday - All,42671.25080545174
World Total - Holiday - Inclusive tour,5152.315131411389
World Total - Business,19160.94037194057
World Total - Visit friends or relatives,28341.32590066162
World Total - Miscellaneous,9831.357490544662
